年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@medialand.com,米蘭 MDCG,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@pilotpr.com.tw,先勢集團,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@unisincere.com,聯廣 UCG,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@unisincere.com.tw,聯廣 UCG,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@unismart.com.tw,聯廣 UCG,1,0,0,0
2025,2025-09-05,風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,無,@unisurf.com.tw,聯廣 UCG,1,0,0,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@medialand.tw,米蘭 MDCG,5,0,1,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@mxdigi.com,米蘭 MDCG,4,0,1,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@grandpr.com.tw,先勢集團,3,1,0,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@unismart.com.tw,聯廣 UCG,3,0,0,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@hakuhodotm.com.tw,台北博報堂 HTM,2,0,0,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@ky-post.com,光洋波斯特,2,0,0,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@meshplus.com.tw,米蘭 MDCG,1,0,1,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@ua.com.tw,聯廣 UCG,2,0,0,0
2025,2025-08-29,風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,無,@pilotpr.com.tw,先勢集團,1,0,0,0
